InvestorLoanIdentifier,EscrowItemSequence,EscrowIndicator,EscrowBalanceAmount,EscrowItemType,EscrowItemTypeOtherDescription,EscrowMonthlyPaymentAmount
4033538163,2,true,1187.91,MortgageInsurance,,75.21
4033538163,3,true,1187.91,CountyPropertyTax,,314.55
4033538164,1,true,2622.08,Other,HomeownersInsurance,106.86
4033538164,2,true,2622.08,CountyPropertyTax,,381.19
4033538255,1,true,716.52,Other,HomeownersInsurance,158.7
4033538255,2,true,716.52,MortgageInsurance,,48.55
4033538255,3,true,716.52,CountyPropertyTax,,80.14
4033538260,,false,,,,
4033538261,1,true,1233.24,Other,HomeownersInsurance,233.58
4033538261,2,true,1233.24,MortgageInsurance,,67.69
4033538261,3,true,1233.24,CountyPropertyTax,,177.5
4033538263,1,true,419.41,Other,HomeownersInsurance,254.5
4033538263,2,true,419.41,MortgageInsurance,,122.71
4033538263,3,true,419.41,CountyPropertyTax,,164.91
4033539914,,false,,,,
4033540340,,false,,,,
4033540349,,false,,,,
4033540350,1,true,4542.16,Other,HomeownersInsurance,240.42
4033540350,2,true,4542.16,CountyPropertyTax,,895.12
4033540351,,false,,,,
4033540352,1,true,4082.84,Other,HomeownersInsurance,170.39
4033540352,2,true,4082.84,CountyPropertyTax,,850.32
4033540452,,false,,,,
4033540507,1,true,1256.97,Other,HomeownersInsurance,160.0
4033540507,2,true,1256.97,CountyPropertyTax,,258.99
4033540732,,false,,,,
4033540968,,false,,,,
4033541012,1,true,305.0,FloodInsurance,,61.0
4033541027,1,true,798.87,Other,HomeownersInsurance,227.91
4033541027,2,true,798.87,MortgageInsurance,,50.06
4033541027,3,true,798.87,CountyPropertyTax,,38.38
4033541468,,false,0.0,,,
4033541739,1,true,2215.11,Other,HomeownersInsurance,129.59
4033541739,2,true,2215.11,CountyPropertyTax,,608.78
4033541874,1,true,5021.61,Other,HomeownersInsurance,515.67
4033541874,2,true,5021.61,CountyPropertyTax,,1158.2
4033541888,1,true,3341.69,CountyPropertyTax,,125.25
4033541888,2,true,3341.69,HazardInsurance,,125.64
4033541888,3,true,3341.69,SchoolPropertyTax,,354.7
4033542112,1,true,733.65,Other,HomeownersInsurance,120.69
4033542112,2,true,733.65,MortgageInsurance,,51.73
4033542112,3,true,733.65,CountyPropertyTax,,79.78
4033542112,4,true,733.65,CityPropertyTax,,44.08
4033542233,1,true,954.15,Other,HomeownersInsurance,77.42
4033542233,2,true,954.15,CountyPropertyTax,,240.63
4033542445,1,true,0.01,MortgageInsurance,,61.92
4033542494,1,true,1843.48,Other,HomeownersInsurance,103.83
4033542494,2,true,1843.48,MortgageInsurance,,99.3
4033542494,3,true,1843.48,CountyPropertyTax,,282.35
4033542507,1,true,1522.83,Other,HomeownersInsurance,144.75
4033542507,2,true,1522.83,MortgageInsurance,,99.05
4033542507,3,true,1522.83,CountyPropertyTax,,362.86
4033542509,1,true,437.13,Other,HomeownersInsurance,113.07
4033542509,2,true,437.13,CountyPropertyTax,,432.08
4033542759,1,true,3701.4,Other,HomeownersInsurance,84.17
4033542759,2,true,3701.4,CountyPropertyTax,,90.84
4033542759,3,true,3701.4,SchoolPropertyTax,,393.84
4033542759,4,true,3701.4,VillagePropertyTax,,156.34
4033543506,1,true,1262.49,Other,HomeownersInsurance,111.58
4033543506,2,true,1262.49,MortgageInsurance,,119.52
4033543506,3,true,1262.49,CountyPropertyTax,,309.25
4033543637,1,true,622.6,HazardInsurance,,118.5
4033543637,2,true,622.6,CountyPropertyTax,,89.06
4033543679,,false,,,,
4033543760,1,true,9941.12,HazardInsurance,,185.67
4033543760,2,true,9941.12,SchoolPropertyTax,,1467.59
4033543760,3,true,9941.12,CountyPropertyTax,,757.46
4033543760,4,true,9941.12,VillagePropertyTax,,63.77
